# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.1 on 2026-04-07 at 06:54:15
#
# Requested input R.A. = 186.3374525 degrees
# Requested input Dec. = 8.288725 degrees
# Requested JD start = 2458216.1234 days
# Requested JD end = 2458450.0253 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 473 14 1 ZTF_g 462262475215 0 3.5237 115.683 4.04867 26.21 1.92751e-05 0.0363671 -0.0231357 3.3966e-05 371 30. 0.076469 0.065103 20.3953 26.21 3 2458216.7624769 473120152 1 -30.58584419473 33.746445 -1.008201 0.995001 -32.04945308948 45.280891 -0.712559 1.227601 0.222822164509509 19.2079998970032 0.0209999997168779 0.889999985694885 0.0399999991059303 2458214.780787 2458283.734155 0
 1 473 14 2 ZTF_g 462262475315 0 4.0394 119.266 4.05368 26.2194 2.38236e-05 0.0390985 -0.0397167 4.12977e-05 361 30. 0.09534 0.070579 20.3978 26.2194 3 2458216.7624769 473120153 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458214.780787 2458283.734155 57,61
 2 525 3 4 ZTF_g 462264461115 0 3.7946 89.0816 4.27213 26.2407 1.82994e-05 0.0358285 -0.0241397 3.218e-05 382 30. 0.08461 0.06508 20.3203 26.2407 3 2458216.7644676 525120111 1 76.62211048031 28.921448 2.947059 1.037045 79.69371921591 37.792839 2.122901 1.150144 0.129014628800729 19.2110001564026 0.0219999998807907 1.00100004673004 -0.0109999999403954 2458166.907303 2458274.728357 0
 3 525 3 4 ZTF_r 462282781115 0 3.3987 223.898 7.11578 26.1831 1.92888e-05 0.0361913 0.125257 3.10467e-05 383 30. 0.080655 0.059838 19.9149 26.275 3 2458216.7827894 525120211 1 -4.03378446846 47.617344 -0.094233 1.197462 18.89531595987 66.993523 0.283947 1.112186 0.158560154628282 19.2470001220703 0.025000000372529 0.976999998092651 -0.0970000028610229 2458155.939062 2458186.875729 0
 4 525 3 4 ZTF_r 463278911115 0 1.8902 223.066 6.7293 26.1316 8.3832e-06 0.0244181 0.11557 1.34804e-05 401 30. 0.056682 0.055421 20.4709 26.275 3 2458217.778912 525120211 1 59.2359650555 28.087208 2.346020 1.060503 133.72134306084 53.416481 2.520232 1.035552 0.158560154628282 19.2470001220703 0.025000000372529 0.976999998092651 -0.0970000028610229 2458155.939062 2458186.875729 0
 5 473 14 1 ZTF_r 463279365215 0 2.4095 220.747 5.96741 26.1306 8.8741e-06 0.0251601 0.105036 1.45292e-05 393 30. 0.051821 0.055681 20.3519 26.1306 1 2458217.7793634 473120252 1 -30.62337439429 30.380850 -1.121264 1.027903 -26.9338787768 53.179356 -0.509884 1.078619 0.205378037268725 19.189999961853 0.0240000002086163 0.697000026702881 0.00999999977648258 2458185.927488 2458227.771262 0
 6 473 14 2 ZTF_r 463279365315 0 2.2635 226.289 6.01952 26.1541 1.14408e-05 0.0277052 0.104921 1.82825e-05 387 30. 0.059591 0.054105 20.3663 26.1541 1 2458217.7793634 473120253 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458185.927488 2458227.771262 57,61
 7 525 3 4 ZTF_r 463279821115 0 2.1625 223.075 6.64119 26.1434 8.0738e-06 0.0239033 0.111652 1.29524e-05 400 30. 0.056632 0.053195 20.4099 26.275 1 2458217.7798264 525120211 1 43.60690054522 31.795364 1.525619 0.980251 -6.20750608934 58.417976 -0.106976 1.039316 0.158560154628282 19.2470001220703 0.025000000372529 0.976999998092651 -0.0970000028610229 2458155.939062 2458186.875729 0
 8 473 14 2 ZTF_r 463280275315 0 2.3724 227.096 6.02092 26.1534 8.5216e-06 0.0238009 0.10929 1.35601e-05 385 30. 0.053666 0.05406 20.4502 26.1534 3 2458217.7802778 473120253 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458185.927488 2458227.771262 57,61
